_EntriesKey,_Id,_Name,_WeaponType,_Rarity,_ElementalType,_BaseId,_VariationId,_FormId,_DecBaseId,_DecVariationId,_BulletBaseId,_BulletVariationId,_IsPlayable,_Text,_DuplicateEntityType,_DuplicateEntityId,_DuplicateEntityQuantity
30119901,30119901,WEAPON_SKIN_NAME_30119901,1,1,99,301001,1,19901,0,0,0,0,0,,0,0,0
30219901,30219901,WEAPON_SKIN_NAME_30219901,2,1,99,302001,1,19901,302001,2,0,0,0,,0,0,0
30319901,30319901,WEAPON_SKIN_NAME_30319901,3,1,99,303001,1,19901,0,0,0,0,0,,0,0,0
30419901,30419901,WEAPON_SKIN_NAME_30419901,4,1,99,304001,1,19901,0,0,0,0,0,,0,0,0
30519901,30519901,WEAPON_SKIN_NAME_30519901,5,1,99,305001,1,19901,0,0,0,0,0,,0,0,0
30619901,30619901,WEAPON_SKIN_NAME_30619901,6,1,99,306001,1,19901,0,0,0,0,0,,0,0,0
30719901,30719901,WEAPON_SKIN_NAME_30719901,7,1,99,307001,1,19901,0,0,0,0,0,,0,0,0
30819901,30819901,WEAPON_SKIN_NAME_30819901,8,1,99,308001,1,19901,0,0,0,0,0,,0,0,0
30919901,30919901,WEAPON_SKIN_NAME_30919901,9,1,99,309001,1,19901,0,0,0,0,0,,0,0,0
30129901,30129901,WEAPON_SKIN_NAME_30129901,1,2,99,301002,1,29901,0,0,0,0,1,,0,0,0
30139901,30139901,WEAPON_SKIN_NAME_30139901,1,3,99,301030,1,39901,0,0,0,0,1,,0,0,0
30239901,30239901,WEAPON_SKIN_NAME_30239901,2,3,99,302021,1,39901,302021,2,0,0,1,,0,0,0
30339901,30339901,WEAPON_SKIN_NAME_30339901,3,3,99,303026,1,39901,0,0,0,0,1,,0,0,0
30439901,30439901,WEAPON_SKIN_NAME_30439901,4,3,99,304025,1,39901,0,0,0,0,1,,0,0,0
30539901,30539901,WEAPON_SKIN_NAME_30539901,5,3,99,305039,1,39901,0,0,0,0,1,,0,0,0
30639901,30639901,WEAPON_SKIN_NAME_30639901,6,3,99,306026,1,39901,0,0,0,0,1,,0,0,0
30739901,30739901,WEAPON_SKIN_NAME_30739901,7,3,99,307042,1,39901,0,0,0,0,1,,0,0,0
30839901,30839901,WEAPON_SKIN_NAME_30839901,8,3,99,308002,1,39901,0,0,0,0,1,,0,0,0
30139902,30139902,WEAPON_SKIN_NAME_30139902,1,3,99,301038,1,39901,0,0,0,0,1,,23,0,25
30239902,30239902,WEAPON_SKIN_NAME_30239902,2,3,99,302030,1,39901,302030,2,0,0,1,,23,0,25
30339902,30339902,WEAPON_SKIN_NAME_30339902,3,3,99,303032,1,39901,0,0,0,0,1,,23,0,25
30439902,30439902,WEAPON_SKIN_NAME_30439902,4,3,99,304031,1,39901,0,0,0,0,1,,23,0,25
30539902,30539902,WEAPON_SKIN_NAME_30539902,5,3,99,305013,1,39901,0,0,0,0,1,,23,0,25
30639902,30639902,WEAPON_SKIN_NAME_30639902,6,3,99,306012,1,39901,0,0,0,0,1,,23,0,25
30739902,30739902,WEAPON_SKIN_NAME_30739902,7,3,99,307004,1,39901,0,0,0,0,1,,23,0,25
30839902,30839902,WEAPON_SKIN_NAME_30839902,8,3,99,307003,1,39901,0,0,0,0,1,,23,0,25
30139903,30139903,WEAPON_SKIN_NAME_30139903,1,3,99,301039,1,39901,0,0,0,0,1,,23,0,25
30239903,30239903,WEAPON_SKIN_NAME_30239903,2,3,99,302008,1,39901,302008,2,0,0,1,,23,0,25
30339903,30339903,WEAPON_SKIN_NAME_30339903,3,3,99,303003,1,39901,0,0,0,0,1,,23,0,25
30439903,30439903,WEAPON_SKIN_NAME_30439903,4,3,99,304032,1,39901,0,0,0,0,1,,23,0,25
30539903,30539903,WEAPON_SKIN_NAME_30539903,5,3,99,305010,1,39901,0,0,0,0,1,,23,0,25
30639903,30639903,WEAPON_SKIN_NAME_30639903,6,3,99,306032,1,39901,0,0,0,0,1,,23,0,25
30739903,30739903,WEAPON_SKIN_NAME_30739903,7,3,99,307037,1,39901,0,0,0,0,1,,23,0,25
30839903,30839903,WEAPON_SKIN_NAME_30839903,8,3,99,308036,1,39901,0,0,0,0,1,,23,0,25
30130102,30130102,WEAPON_SKIN_NAME_30130102,1,3,1,301013,1,30101,0,0,0,0,1,,23,0,25
30130201,30130201,WEAPON_SKIN_NAME_30130201,1,3,2,301006,1,30201,0,0,0,0,1,,23,0,25
30130302,30130302,WEAPON_SKIN_NAME_30130302,1,3,3,301035,1,30301,0,0,0,0,1,,23,0,25
30130401,30130401,WEAPON_SKIN_NAME_30130401,1,3,4,301007,1,30401,0,0,0,0,1,,23,0,25
30130501,30130501,WEAPON_SKIN_NAME_30130501,1,3,5,301008,1,30501,0,0,0,0,1,,23,0,25
30230101,30230101,WEAPON_SKIN_NAME_30230101,2,3,1,302006,1,30101,302006,2,0,0,1,,23,0,25
30230201,30230201,WEAPON_SKIN_NAME_30230201,2,3,2,302007,1,30201,302007,2,0,0,1,,23,0,25
30230302,30230302,WEAPON_SKIN_NAME_30230302,2,3,3,302024,1,30301,302024,2,0,0,1,,23,0,25
30230401,30230401,WEAPON_SKIN_NAME_30230401,2,3,4,302027,1,30401,302027,2,0,0,1,,23,0,25
30230501,30230501,WEAPON_SKIN_NAME_30230501,2,3,5,302009,1,30501,302009,2,0,0,1,,23,0,25
30330101,30330101,WEAPON_SKIN_NAME_30330101,3,3,1,303027,1,30101,0,0,0,0,1,,23,0,25
30330201,30330201,WEAPON_SKIN_NAME_30330201,3,3,2,303021,1,30201,0,0,0,0,1,,23,0,25
30330301,30330301,WEAPON_SKIN_NAME_30330301,3,3,3,303007,1,30301,0,0,0,0,1,,23,0,25
30330401,30330401,WEAPON_SKIN_NAME_30330401,3,3,4,303008,1,30401,0,0,0,0,1,,23,0,25
30330501,30330501,WEAPON_SKIN_NAME_30330501,3,3,5,303009,1,30501,0,0,0,0,1,,23,0,25
30430101,30430101,WEAPON_SKIN_NAME_30430101,4,3,1,304018,1,30101,0,0,0,0,1,,23,0,25
30430201,30430201,WEAPON_SKIN_NAME_30430201,4,3,2,304006,1,30201,0,0,0,0,1,,23,0,25
30430301,30430301,WEAPON_SKIN_NAME_30430301,4,3,3,304007,1,30301,0,0,0,0,1,,23,0,25
30430401,30430401,WEAPON_SKIN_NAME_30430401,4,3,4,304008,1,30401,0,0,0,0,1,,23,0,25
30430501,30430501,WEAPON_SKIN_NAME_30430501,4,3,5,304009,1,30501,0,0,0,0,1,,23,0,25
30530101,30530101,WEAPON_SKIN_NAME_30530101,5,3,1,305006,1,30101,0,0,0,0,1,,23,0,25
30530201,30530201,WEAPON_SKIN_NAME_30530201,5,3,2,305007,1,30201,0,0,0,0,1,,23,0,25
30530301,30530301,WEAPON_SKIN_NAME_30530301,5,3,3,305017,1,30301,0,0,0,0,1,,23,0,25
30530401,30530401,WEAPON_SKIN_NAME_30530401,5,3,4,305008,1,30401,0,0,0,0,1,,23,0,25
30530501,30530501,WEAPON_SKIN_NAME_30530501,5,3,5,305034,1,30501,0,0,0,0,1,,23,0,25
30630101,30630101,WEAPON_SKIN_NAME_30630101,6,3,1,306006,1,30101,0,0,0,0,1,,23,0,25
30630201,30630201,WEAPON_SKIN_NAME_30630201,6,3,2,306007,1,30201,0,0,0,0,1,,23,0,25
30630302,30630302,WEAPON_SKIN_NAME_30630302,6,3,3,306003,1,30301,0,0,0,0,1,,23,0,25
30630401,30630401,WEAPON_SKIN_NAME_30630401,6,3,4,306009,1,30401,0,0,0,0,1,,23,0,25
30630501,30630501,WEAPON_SKIN_NAME_30630501,6,3,5,306018,1,30501,0,0,0,0,1,,23,0,25
30730101,30730101,WEAPON_SKIN_NAME_30730101,7,3,1,307006,1,30101,0,0,0,0,1,,23,0,25
